date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:20:46	421252/421252	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Apr%202022%2016:08:16%20GMT	http://wp.alithemes.com/html/nest/demo/index.html	C:/Users/akash/OneDrive/Desktop/Ecommerce%20Project/Ecommerce%20Project/wp.alithemes.com/html/nest/demo/index.html	(from )
00:20:47	441/441	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2012%20Jul%202022%2018:50:47%20GMT	http://wp.alithemes.com/robots.txt		(from )
00:20:47	9540/9540	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2030%20Jun%202021%2020:29:00%20GMT	http://wp.alithemes.com/html/nest/demo/assets/imgs/theme/favicon.svg	C:/Users/akash/OneDrive/Desktop/Ecommerce%20Project/Ecommerce%20Project/wp.alithemes.com/html/nest/demo/assets/imgs/theme/favicon.svg	(from http://wp.alithemes.com/html/nest/demo/index.html)
00:20:47	71750/71750	---M-Z	200	added ('OK')	text/css	date:Fri,%2015%20Apr%202022%2015:41:10%20GMT	http://wp.alithemes.com/html/nest/demo/assets/css/plugins/animate.min.css	C:/Users/akash/OneDrive/Desktop/Ecommerce%20Project/Ecommerce%20Project/wp.alithemes.com/html/nest/demo/assets/css/plugins/animate.min.css	(from http://wp.alithemes.com/html/nest/demo/index.html)
00:20:47	234222/234222	---M-Z	200	added ('OK')	text/css	date:Fri,%2015%20Apr%202022%2015:29:08%20GMT	http://wp.alithemes.com/html/nest/demo/assets/css/main.css?v=5.2	C:/Users/akash/OneDrive/Desktop/Ecommerce%20Project/Ecommerce%20Project/wp.alithemes.com/html/nest/demo/assets/css/main17e6.css	(from http://wp.alithemes.com/html/nest/demo/index.html)
00:20:49	133759/133759	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Apr%202022%2016:08:18%20GMT	http://wp.alithemes.com/html/nest/demo/shop-product-right.html	C:/Users/akash/OneDrive/Desktop/Ecommerce%20Project/Ecommerce%20Project/wp.alithemes.com/html/nest/demo/shop-product-right.html	(from http://wp.alithemes.com/html/nest/demo/index.html)
00:20:50	162964/162964	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Apr%202022%2016:08:18%20GMT	http://wp.alithemes.com/html/nest/demo/shop-grid-right.html	C:/Users/akash/OneDrive/Desktop/Ecommerce%20Project/Ecommerce%20Project/wp.alithemes.com/html/nest/demo/shop-grid-right.html	(from http://wp.alithemes.com/html/nest/demo/index.html)
00:21:00	59168/59168	---M--	200	added ('OK')	image/jpeg	date:Thu,%2022%20Jul%202021%2013:53:08%20GMT	http://wp.alithemes.com/html/nest/demo/assets/imgs/shop/product-16-1.jpg	C:/Users/akash/OneDrive/Desktop/Ecommerce%20Project/Ecommerce%20Project/wp.alithemes.com/html/nest/demo/assets/imgs/shop/product-16-1.jpg	(from http://wp.alithemes.com/html/nest/demo/index.html)
00:21:02	74882/74882	---M--	200	added ('OK')	image/jpeg	date:Thu,%2022%20Jul%202021%2013:53:08%20GMT	http://wp.alithemes.com/html/nest/demo/assets/imgs/shop/product-16-2.jpg	C:/Users/akash/OneDrive/Desktop/Ecommerce%20Project/Ecommerce%20Project/wp.alithemes.com/html/nest/demo/assets/imgs/shop/product-16-2.jpg	(from http://wp.alithemes.com/html/nest/demo/index.html)
00:21:02	71574/71574	---M--	200	added ('OK')	image/jpeg	date:Thu,%2022%20Jul%202021%2013:53:08%20GMT	http://wp.alithemes.com/html/nest/demo/assets/imgs/shop/product-16-3.jpg	C:/Users/akash/OneDrive/Desktop/Ecommerce%20Project/Ecommerce%20Project/wp.alithemes.com/html/nest/demo/assets/imgs/shop/product-16-3.jpg	(from http://wp.alithemes.com/html/nest/demo/index.html)
00:21:12	59849/59849	---M--	200	added ('OK')	image/jpeg	date:Thu,%2022%20Jul%202021%2013:53:08%20GMT	http://wp.alithemes.com/html/nest/demo/assets/imgs/shop/product-16-5.jpg	C:/Users/akash/OneDrive/Desktop/Ecommerce%20Project/Ecommerce%20Project/wp.alithemes.com/html/nest/demo/assets/imgs/shop/product-16-5.jpg	(from http://wp.alithemes.com/html/nest/demo/index.html)
00:21:14	87131/87131	---M--	200	added ('OK')	image/jpeg	date:Thu,%2022%20Jul%202021%2013:53:08%20GMT	http://wp.alithemes.com/html/nest/demo/assets/imgs/shop/product-16-4.jpg	C:/Users/akash/OneDrive/Desktop/Ecommerce%20Project/Ecommerce%20Project/wp.alithemes.com/html/nest/demo/assets/imgs/shop/product-16-4.jpg	(from http://wp.alithemes.com/html/nest/demo/index.html)
00:21:17	15751/15751	---M--	200	added ('OK')	image/jpeg	date:Thu,%2022%20Jul%202021%2013:53:08%20GMT	http://wp.alithemes.com/html/nest/demo/assets/imgs/shop/thumbnail-3.jpg	C:/Users/akash/OneDrive/Desktop/Ecommerce%20Project/Ecommerce%20Project/wp.alithemes.com/html/nest/demo/assets/imgs/shop/thumbnail-3.jpg	(from http://wp.alithemes.com/html/nest/demo/index.html)
00:21:17	91691/91691	---M--	200	added ('OK')	image/jpeg	date:Thu,%2022%20Jul%202021%2013:53:08%20GMT	http://wp.alithemes.com/html/nest/demo/assets/imgs/shop/product-16-6.jpg	C:/Users/akash/OneDrive/Desktop/Ecommerce%20Project/Ecommerce%20Project/wp.alithemes.com/html/nest/demo/assets/imgs/shop/product-16-6.jpg	(from http://wp.alithemes.com/html/nest/demo/index.html)
00:21:20	16846/16846	---M--	200	added ('OK')	image/jpeg	date:Thu,%2022%20Jul%202021%2013:53:08%20GMT	http://wp.alithemes.com/html/nest/demo/assets/imgs/shop/thumbnail-4.jpg	C:/Users/akash/OneDrive/Desktop/Ecommerce%20Project/Ecommerce%20Project/wp.alithemes.com/html/nest/demo/assets/imgs/shop/thumbnail-4.jpg	(from http://wp.alithemes.com/html/nest/demo/index.html)
00:21:22	24938/24938	---M--	200	added ('OK')	image/jpeg	date:Thu,%2022%20Jul%202021%2013:53:08%20GMT	http://wp.alithemes.com/html/nest/demo/assets/imgs/shop/thumbnail-5.jpg	C:/Users/akash/OneDrive/Desktop/Ecommerce%20Project/Ecommerce%20Project/wp.alithemes.com/html/nest/demo/assets/imgs/shop/thumbnail-5.jpg	(from http://wp.alithemes.com/html/nest/demo/index.html)
00:21:26	25444/25444	---M--	200	added ('OK')	image/jpeg	date:Thu,%2022%20Jul%202021%2013:53:08%20GMT	http://wp.alithemes.com/html/nest/demo/assets/imgs/shop/thumbnail-7.jpg	C:/Users/akash/OneDrive/Desktop/Ecommerce%20Project/Ecommerce%20Project/wp.alithemes.com/html/nest/demo/assets/imgs/shop/thumbnail-7.jpg	(from http://wp.alithemes.com/html/nest/demo/index.html)
00:21:28	100953/100953	---M--	200	added ('OK')	image/jpeg	date:Thu,%2022%20Jul%202021%2013:53:08%20GMT	http://wp.alithemes.com/html/nest/demo/assets/imgs/shop/product-16-7.jpg	C:/Users/akash/OneDrive/Desktop/Ecommerce%20Project/Ecommerce%20Project/wp.alithemes.com/html/nest/demo/assets/imgs/shop/product-16-7.jpg	(from http://wp.alithemes.com/html/nest/demo/index.html)
00:21:31	63412/63412	---M--	200	added ('OK')	image/jpeg	date:Thu,%2022%20Jul%202021%2013:53:08%20GMT	http://wp.alithemes.com/html/nest/demo/assets/imgs/shop/thumbnail-6.jpg	C:/Users/akash/OneDrive/Desktop/Ecommerce%20Project/Ecommerce%20Project/wp.alithemes.com/html/nest/demo/assets/imgs/shop/thumbnail-6.jpg	(from http://wp.alithemes.com/html/nest/demo/index.html)
00:21:31	31455/31455	---M--	200	added ('OK')	image/jpeg	date:Thu,%2022%20Jul%202021%2013:53:08%20GMT	http://wp.alithemes.com/html/nest/demo/assets/imgs/shop/thumbnail-8.jpg	C:/Users/akash/OneDrive/Desktop/Ecommerce%20Project/Ecommerce%20Project/wp.alithemes.com/html/nest/demo/assets/imgs/shop/thumbnail-8.jpg	(from http://wp.alithemes.com/html/nest/demo/index.html)
00:21:32	24062/24062	---M--	200	added ('OK')	image/jpeg	date:Thu,%2022%20Jul%202021%2013:53:08%20GMT	http://wp.alithemes.com/html/nest/demo/assets/imgs/shop/thumbnail-9.jpg	C:/Users/akash/OneDrive/Desktop/Ecommerce%20Project/Ecommerce%20Project/wp.alithemes.com/html/nest/demo/assets/imgs/shop/thumbnail-9.jpg	(from http://wp.alithemes.com/html/nest/demo/index.html)
00:21:32	708/708	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2012%20Jul%202022%2018:51:33%20GMT	http://wp.alithemes.com/html/nest/demo/page-about.htlm	C:/Users/akash/OneDrive/Desktop/Ecommerce%20Project/Ecommerce%20Project/wp.alithemes.com/html/nest/demo/page-about.htlm	(from http://wp.alithemes.com/html/nest/demo/index.html)
00:21:33	78013/78013	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Apr%202022%2016:08:16%20GMT	http://wp.alithemes.com/html/nest/demo/page-account.html	C:/Users/akash/OneDrive/Desktop/Ecommerce%20Project/Ecommerce%20Project/wp.alithemes.com/html/nest/demo/page-account.html	(from http://wp.alithemes.com/html/nest/demo/index.html)
00:21:34	77799/77799	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Apr%202022%2016:08:18%20GMT	http://wp.alithemes.com/html/nest/demo/shop-wishlist.html	C:/Users/akash/OneDrive/Desktop/Ecommerce%20Project/Ecommerce%20Project/wp.alithemes.com/html/nest/demo/shop-wishlist.html	(from http://wp.alithemes.com/html/nest/demo/index.html)
00:21:35	708/708	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2012%20Jul%202022%2018:51:36%20GMT	http://wp.alithemes.com/html/nest/demo/shop-order.html	C:/Users/akash/OneDrive/Desktop/Ecommerce%20Project/Ecommerce%20Project/wp.alithemes.com/html/nest/demo/shop-order.html	(from http://wp.alithemes.com/html/nest/demo/index.html)
00:21:35	3594/3594	---M--	200	added ('OK')	image/png	date:Fri,%2021%20May%202021%2019:26:36%20GMT	http://wp.alithemes.com/html/nest/demo/assets/imgs/theme/flag-fr.png	C:/Users/akash/OneDrive/Desktop/Ecommerce%20Project/Ecommerce%20Project/wp.alithemes.com/html/nest/demo/assets/imgs/theme/flag-fr.png	(from http://wp.alithemes.com/html/nest/demo/index.html)
00:21:36	3588/3588	---M--	200	added ('OK')	image/png	date:Fri,%2021%20May%202021%2019:26:22%20GMT	http://wp.alithemes.com/html/nest/demo/assets/imgs/theme/flag-dt.png	C:/Users/akash/OneDrive/Desktop/Ecommerce%20Project/Ecommerce%20Project/wp.alithemes.com/html/nest/demo/assets/imgs/theme/flag-dt.png	(from http://wp.alithemes.com/html/nest/demo/index.html)
00:21:36	21893/21893	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2030%20Jun%202021%2020:29:34%20GMT	http://wp.alithemes.com/html/nest/demo/assets/imgs/theme/logo.svg	C:/Users/akash/OneDrive/Desktop/Ecommerce%20Project/Ecommerce%20Project/wp.alithemes.com/html/nest/demo/assets/imgs/theme/logo.svg	(from http://wp.alithemes.com/html/nest/demo/index.html)
00:21:36	3590/3590	---M--	200	added ('OK')	image/png	date:Fri,%2021%20May%202021%2019:26:30%20GMT	http://wp.alithemes.com/html/nest/demo/assets/imgs/theme/flag-ru.png	C:/Users/akash/OneDrive/Desktop/Ecommerce%20Project/Ecommerce%20Project/wp.alithemes.com/html/nest/demo/assets/imgs/theme/flag-ru.png	(from http://wp.alithemes.com/html/nest/demo/index.html)
00:21:37	74488/74488	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Apr%202022%2016:08:16%20GMT	http://wp.alithemes.com/html/nest/demo/shop-compare.html	C:/Users/akash/OneDrive/Desktop/Ecommerce%20Project/Ecommerce%20Project/wp.alithemes.com/html/nest/demo/shop-compare.html	(from http://wp.alithemes.com/html/nest/demo/index.html)
00:21:37	881/881	---M-Z	200	added ('OK')	image/svg+xml	date:Sat,%2025%20Sep%202021%2014:37:44%20GMT	http://wp.alithemes.com/html/nest/demo/assets/imgs/theme/icons/icon-compare.svg	C:/Users/akash/OneDrive/Desktop/Ecommerce%20Project/Ecommerce%20Project/wp.alithemes.com/html/nest/demo/assets/imgs/theme/icons/icon-compare.svg	(from http://wp.alithemes.com/html/nest/demo/index.html)
00:21:38	1322/1322	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2026%20Jul%202021%2014:24:36%20GMT	http://wp.alithemes.com/html/nest/demo/assets/imgs/theme/icons/icon-heart.svg	C:/Users/akash/OneDrive/Desktop/Ecommerce%20Project/Ecommerce%20Project/wp.alithemes.com/html/nest/demo/assets/imgs/theme/icons/icon-heart.svg	(from http://wp.alithemes.com/html/nest/demo/index.html)
00:21:39	100760/100760	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Apr%202022%2016:08:16%20GMT	http://wp.alithemes.com/html/nest/demo/shop-cart.html	C:/Users/akash/OneDrive/Desktop/Ecommerce%20Project/Ecommerce%20Project/wp.alithemes.com/html/nest/demo/shop-cart.html	(from http://wp.alithemes.com/html/nest/demo/index.html)
00:21:39	1378/1378	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2026%20Jul%202021%2014:24:54%20GMT	http://wp.alithemes.com/html/nest/demo/assets/imgs/theme/icons/icon-cart.svg	C:/Users/akash/OneDrive/Desktop/Ecommerce%20Project/Ecommerce%20Project/wp.alithemes.com/html/nest/demo/assets/imgs/theme/icons/icon-cart.svg	(from http://wp.alithemes.com/html/nest/demo/index.html)
00:21:40	431894/431894	---M--	200	added ('OK')	image/png	date:Sat,%2002%20Oct%202021%2018:59:22%20GMT	http://wp.alithemes.com/html/nest/demo/assets/imgs/banner/popup-1.png	C:/Users/akash/OneDrive/Desktop/Ecommerce%20Project/Ecommerce%20Project/wp.alithemes.com/html/nest/demo/assets/imgs/banner/popup-1.png	(from http://wp.alithemes.com/html/nest/demo/index.html)
